"occupation_id","task_cluster_id","exposure_score","augmentation_likelihood","partial_automation_likelihood","high_automation_likelihood","evidence_confidence","primary_sources","notes"
"occ_41_3011_00","cluster_client_interaction","0.05","0.47","0.09","0.02","0.78","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_41_3011_00","cluster_coordination","0.49","0.59","0.12","0.02","0.50","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_41_3011_00","cluster_decision_support","0.03","0.29","0.20","0.12","0.41","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_41_3011_00","cluster_documentation","0.61","0.47","0.32","0.20","0.46","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_41_3011_00","cluster_drafting","0.07","0.54","0.32","0.24","0.78","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_41_3011_00","cluster_relationship_management","0.39","0.55","0.04","0.02","0.58","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_41_3011_00","cluster_research_synthesis","0.01","0.00","0.00","0.02","0.19","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_41_3011_00","cluster_workflow_admin","0.65","0.45","0.36","0.24","0.47","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_41_3091_00","cluster_client_interaction","0.45","0.57","0.08","0.02","0.57","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_41_3091_00","cluster_coordination","0.49","0.59","0.12","0.02","0.50","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_41_3091_00","cluster_decision_support","0.51","0.61","0.14","0.02","0.48","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_41_3091_00","cluster_documentation","0.61","0.47","0.32","0.20","0.46","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_41_3091_00","cluster_relationship_management","0.39","0.55","0.04","0.02","0.58","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_41_3091_00","cluster_research_synthesis","0.63","0.51","0.28","0.16","0.48","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_41_3091_00","cluster_workflow_admin","0.65","0.45","0.36","0.24","0.47","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_43_3031_00","cluster_analysis","0.06","0.37","0.38","0.30","0.78","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_43_3031_00","cluster_client_interaction","0.59","0.58","0.30","0.18","0.48","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_43_3031_00","cluster_decision_support","0.05","0.46","0.50","0.42","0.78","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_43_3031_00","cluster_documentation","0.06","0.51","0.36","0.28","0.78","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_43_3031_00","cluster_execution_routine","0.05","0.10","0.17","0.09","0.78","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_43_3031_00","cluster_qa_review","0.05","0.39","0.47","0.39","0.78","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_43_4051_00","cluster_client_interaction","0.06","0.47","0.19","0.11","0.78","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_43_4051_00","cluster_coordination","0.55","0.66","0.25","0.13","0.56","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_43_4051_00","cluster_decision_support","0.57","0.68","0.27","0.15","0.48","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_43_4051_00","cluster_documentation","0.67","0.54","0.45","0.33","0.54","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_43_4051_00","cluster_execution_routine","0.75","0.46","0.53","0.41","0.58","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_43_4051_00","cluster_qa_review","0.05","0.70","0.19","0.11","0.78","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_43_4051_00","cluster_workflow_admin","0.71","0.52","0.49","0.37","0.55","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_43_6011_00","cluster_client_interaction","0.56","0.60","0.33","0.21","0.49","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_43_6011_00","cluster_coordination","0.60","0.62","0.37","0.25","0.56","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_43_6011_00","cluster_documentation","0.08","0.43","0.52","0.44","0.78","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_43_6011_00","cluster_drafting","0.13","0.50","0.49","0.41","0.78","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_43_6011_00","cluster_execution_routine","0.80","0.42","0.65","0.53","0.58","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_43_6011_00","cluster_oversight_strategy","0.01","0.00","0.00","0.02","0.21","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_43_6011_00","cluster_qa_review","0.01","0.00","0.00","0.02","0.20","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_43_6011_00","cluster_research_synthesis","0.07","0.51","0.43","0.35","0.78","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_43_6011_00","cluster_workflow_admin","0.01","0.00","0.00","0.02","0.12","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_43_6014_00","cluster_client_interaction","0.05","0.37","0.29","0.21","0.78","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_43_6014_00","cluster_coordination","0.01","0.00","0.00","0.02","0.19","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_43_6014_00","cluster_documentation","0.05","0.54","0.42","0.34","0.78","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_43_6014_00","cluster_drafting","0.12","0.59","0.35","0.27","0.78","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_43_6014_00","cluster_execution_routine","0.14","0.61","0.32","0.24","0.78","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_43_6014_00","cluster_oversight_strategy","0.06","0.09","0.00","0.02","0.78","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_43_6014_00","cluster_qa_review","0.03","0.30","0.25","0.17","0.54","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_43_6014_00","cluster_workflow_admin","0.14","0.64","0.22","0.14","0.78","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_43_9061_00","cluster_client_interaction","0.08","0.52","0.17","0.09","0.78","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_43_9061_00","cluster_coordination","0.60","0.62","0.37","0.25","0.56","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_43_9061_00","cluster_documentation","0.07","0.51","0.40","0.32","0.78","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_43_9061_00","cluster_execution_routine","0.80","0.42","0.65","0.53","0.58","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_43_9061_00","cluster_oversight_strategy","0.06","0.08","0.08","0.02","0.78","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_43_9061_00","cluster_qa_review","0.66","0.62","0.50","0.38","0.50","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_43_9061_00","cluster_research_synthesis","0.02","0.00","0.18","0.10","0.26","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_43_9061_00","cluster_workflow_admin","0.30","0.81","0.12","0.04","0.78","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_43_9111_00","cluster_analysis","0.14","0.57","0.39","0.31","0.78","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_43_9111_00","cluster_client_interaction","0.07","0.63","0.14","0.06","0.78","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_43_9111_00","cluster_coordination","0.68","0.76","0.24","0.12","0.51","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_43_9111_00","cluster_decision_support","0.70","0.78","0.26","0.14","0.57","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_43_9111_00","cluster_drafting","0.86","0.64","0.48","0.36","0.50","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_43_9111_00","cluster_qa_review","0.74","0.76","0.37","0.25","0.54","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_43_9111_00","cluster_research_synthesis","0.82","0.68","0.40","0.28","0.56","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
