occupation_id,title,human_constraint_target,human_constraint_confidence,adoption_context_target,adoption_context_confidence,demand_context_target,demand_context_confidence,wage_leverage_target,wage_leverage_confidence,routine_pressure_target,routine_pressure_confidence,specialization_resilience_target,specialization_resilience_confidence,role_heterogeneity_target,role_heterogeneity_confidence,model_human_guardrail,model_adoption_context,model_demand_context,model_wage_leverage,model_routine_pressure,model_specialization_resilience,model_role_fragmentation,human_constraint_gap,adoption_context_gap,demand_context_gap,wage_leverage_gap,routine_pressure_gap,specialization_resilience_gap,role_heterogeneity_gap,human_constraint_review,adoption_context_review,demand_context_review,wage_leverage_review,routine_pressure_review,specialization_resilience_review,role_heterogeneity_review,quality_source_mix,ors_source_mix,heterogeneity_source_mix,btos_source_mix,adaptation_source_mix,labor_release_year,highest_review_tier,primary_review_layer,primary_review_strength,primary_review_score,primary_review_reason,notes
occ_27_1024_00,Graphic Designers,0.316,0.678,0.41,0.883,0.489,0.85,0.265,0.85,0.205,0.74,0.659,0.74,0.35,0.867,0.504,0.447,0.513,0.472,0.376,0.515,0.274,0.188,0.037,0.024,0.207,0.17,0.144,0.076,medium,ok,ok,medium,low,low,ok,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,src_bls_ors_2025_prelim,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,medium,accountability_guardrails,strong,0.147,"Human-constraint mismatch points to function anchors, accountability weights, or trust/liability guardrails.",launch_stub_generated|btos_covered_share=0.972|btos_percentile=0.774|derived_launch_aggregate|knowledge_share=0.70|people_share=0.21|routine_share=0.00|labor_context_2024
occ_27_3023_00,"News Analysts, Reporters, and Journalists",,0,0.46,0.878,0.41,0.85,0.364,0.85,0.341,0.73,0.559,0.73,0.351,0.831,0.594,0.464,0.43,0.51,0.455,0.565,0.224,,0.004,0.02,0.146,0.114,0.006,0.127,ok,ok,ok,low,ok,ok,low,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,low,role_shape_heterogeneity,medium,0.106,"Role-heterogeneity mismatch points to occupation shape assumptions, missing multi-anchor variants, or overstated uniformity within the occupation.",launch_stub_generated|btos_covered_share=0.984|btos_percentile=1.000|derived_launch_aggregate|knowledge_share=0.47|people_share=0.20|routine_share=0.23|labor_context_2024
occ_27_3031_00,Public Relations Specialists,0.543,0.678,0.382,0.835,0.64,0.85,0.424,0.85,0.254,0.78,0.6,0.78,0.339,0.881,0.598,0.425,0.507,0.538,0.337,0.573,0.224,0.055,0.043,0.133,0.114,0.083,0.026,0.115,ok,ok,low,ok,ok,ok,ok,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,src_bls_ors_2025_prelim,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,low,role_shape_heterogeneity,medium,0.101,"Role-heterogeneity mismatch points to occupation shape assumptions, missing multi-anchor variants, or overstated uniformity within the occupation.",launch_stub_generated|btos_covered_share=0.868|btos_percentile=0.645|derived_launch_aggregate|knowledge_share=0.44|people_share=0.42|routine_share=0.14|labor_context_2024
occ_27_3041_00,Editors,,0,0.446,0.88,0.513,0.85,0.553,0.85,0.259,0.64,0.663,0.64,0.386,0.81,0.596,0.419,0.503,0.575,0.32,0.598,0.2,,0.026,0.01,0.022,0.061,0.065,0.186,ok,ok,ok,ok,ok,ok,medium,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,medium,role_shape_heterogeneity,medium,0.151,"Role-heterogeneity mismatch points to occupation shape assumptions, missing multi-anchor variants, or overstated uniformity within the occupation.",launch_stub_generated|btos_covered_share=0.986|btos_percentile=0.935|derived_launch_aggregate|knowledge_share=0.77|people_share=0.06|routine_share=0.06|labor_context_2024
occ_27_3042_00,Technical Writers,,0,0.361,0.876,0.426,0.85,0.538,0.85,0.391,0.69,0.588,0.69,0.369,0.808,0.552,0.456,0.444,0.485,0.379,0.539,0.229,,0.096,0.018,0.053,0.012,0.049,0.14,ok,ok,ok,ok,ok,ok,low,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,low,role_shape_heterogeneity,medium,0.113,"Role-heterogeneity mismatch points to occupation shape assumptions, missing multi-anchor variants, or overstated uniformity within the occupation.",launch_stub_generated|btos_covered_share=0.964|btos_percentile=0.548|derived_launch_aggregate|knowledge_share=0.58|people_share=0.01|routine_share=0.28|labor_context_2024
occ_27_3043_00,Writers and Authors,,0,0.403,0.873,0.688,0.85,0.439,0.85,0.171,0.74,0.648,0.74,0.331,0.85,0.523,0.424,0.655,0.523,0.318,0.545,0.232,,0.021,0.033,0.084,0.147,0.103,0.099,ok,ok,ok,ok,low,ok,ok,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,low,task_pressure,medium,0.109,"Routine-pressure mismatch points to task-pressure weighting, routine-share assumptions, or cluster/task mapping.",launch_stub_generated|btos_covered_share=0.961|btos_percentile=0.742|derived_launch_aggregate|knowledge_share=0.52|people_share=0.45|routine_share=0.00|labor_context_2024
occ_41_3011_00,Advertising Sales Agents,,0,0.453,0.889,0.132,0.85,0.402,0.85,0.215,0.78,0.559,0.78,0.3,0.86,0.614,0.386,0.443,0.628,0.289,0.626,0.199,,0.067,0.311,0.226,0.074,0.067,0.101,ok,ok,high,high,ok,ok,ok,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,high,demand_and_adoption,weak,0.159,Demand-context mismatch points to demand-expansion or adoption-realization assumptions rather than core task reachability.,launch_stub_generated|btos_covered_share=0.992|btos_percentile=0.968|derived_launch_aggregate|knowledge_share=0.34|people_share=0.57|routine_share=0.10|labor_context_2024
occ_41_3091_00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",0.373,0.763,0.375,0.882,0.394,0.85,0.462,0.85,0.213,0.36,0.405,0.36,0.246,0.743,0.651,0.375,0.448,0.68,0.242,0.665,0.175,0.278,0,0.054,0.218,0.029,0.26,0.071,high,ok,ok,medium,ok,low,ok,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,src_bls_ors_2025_prelim,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,high,accountability_guardrails,strong,0.244,"Human-constraint mismatch points to function anchors, accountability weights, or trust/liability guardrails.",launch_stub_generated|btos_covered_share=0.997|btos_percentile=0.613|derived_launch_aggregate|knowledge_share=0.00|people_share=1.00|routine_share=0.00|labor_context_2024
occ_43_3031_00,"Bookkeeping, Accounting, and Auditing Clerks",0.423,0.806,0.29,0.864,0.264,0.85,0.091,0.85,0.586,0.59,0.432,0.59,0.381,0.824,0.641,0.438,0.339,0.539,0.379,0.59,0.206,0.218,0.148,0.075,0.448,0.207,0.159,0.175,medium,low,ok,high,medium,low,low,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,src_bls_ors_2025_prelim,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,high,bargaining_power,weak,0.228,Wage-leverage mismatch points to retained bargaining-power weights or function-level leverage assumptions.,launch_stub_generated|btos_covered_share=0.944|btos_percentile=0.226|derived_launch_aggregate|knowledge_share=0.45|people_share=0.00|routine_share=0.51|labor_context_2024
occ_43_4051_00,Customer Service Representatives,0.499,0.721,0.254,0.872,0.29,0.85,0,0.85,0.307,0.59,0.354,0.59,0.284,0.824,0.572,0.408,0.378,0.526,0.346,0.56,0.245,0.073,0.154,0.088,0.526,0.039,0.205,0.039,ok,low,ok,high,ok,medium,ok,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,src_bls_ors_2025_prelim,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,high,bargaining_power,weak,0.268,Wage-leverage mismatch points to retained bargaining-power weights or function-level leverage assumptions.,launch_stub_generated|btos_covered_share=0.960|btos_percentile=0.065|derived_launch_aggregate|knowledge_share=0.01|people_share=0.78|routine_share=0.10|labor_context_2024
occ_43_6011_00,Executive Secretaries and Executive Administrative Assistants,0.306,0.806,0.325,0.853,0.292,0.85,0.364,0.85,0.585,0.61,0.427,0.61,0.349,0.831,0.485,0.432,0.356,0.409,0.392,0.479,0.308,0.179,0.107,0.064,0.045,0.193,0.053,0.041,low,ok,ok,ok,medium,ok,ok,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,src_bls_ors_2025_prelim,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,medium,accountability_guardrails,strong,0.166,"Human-constraint mismatch points to function anchors, accountability weights, or trust/liability guardrails.",launch_stub_generated|btos_covered_share=0.918|btos_percentile=0.387|derived_launch_aggregate|knowledge_share=0.35|people_share=0.10|routine_share=0.54|labor_context_2024
occ_43_6014_00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",0.265,0.806,0.275,0.85,0.33,0.85,0.076,0.85,0.721,0.53,0.274,0.53,0.364,0.803,0.482,0.43,0.284,0.418,0.341,0.479,0.266,0.217,0.154,0.046,0.342,0.381,0.205,0.098,medium,low,ok,high,medium,medium,ok,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,src_bls_ors_2025_prelim,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,high,task_pressure,medium,0.202,"Routine-pressure mismatch points to task-pressure weighting, routine-share assumptions, or cluster/task mapping.",launch_stub_generated|btos_covered_share=0.912|btos_percentile=0.161|derived_launch_aggregate|knowledge_share=0.10|people_share=0.18|routine_share=0.69|labor_context_2024
occ_43_9061_00,"Office Clerks, General",0.294,0.806,0.268,0.822,0.212,0.85,0.061,0.85,0.738,0.51,0.284,0.51,0.388,0.796,0.475,0.439,0.259,0.394,0.372,0.467,0.279,0.181,0.171,0.047,0.333,0.365,0.182,0.109,medium,low,ok,high,medium,medium,ok,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,src_bls_ors_2025_prelim,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,high,task_pressure,medium,0.186,"Routine-pressure mismatch points to task-pressure weighting, routine-share assumptions, or cluster/task mapping.",launch_stub_generated|btos_covered_share=0.835|btos_percentile=0.129|derived_launch_aggregate|knowledge_share=0.19|people_share=0.11|routine_share=0.70|labor_context_2024
occ_43_9111_00,Statistical Assistants,,0,0.396,0.842,0.334,0.85,0.098,0.85,0.307,0.67,0.586,0.67,0.385,0.79,0.557,0.433,0.463,0.528,0.375,0.561,0.24,,0.037,0.129,0.43,0.068,0.025,0.145,ok,ok,low,high,ok,ok,low,src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03,,src_census_acs_2024_1yr_pums_api,src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03|src_census_btos_2026_03,src_onet_30_1|src_anthropic_ei_2026_01_15|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03,2024,high,bargaining_power,weak,0.219,Wage-leverage mismatch points to retained bargaining-power weights or function-level leverage assumptions.,launch_stub_generated|btos_covered_share=0.889|btos_percentile=0.710|derived_launch_aggregate|knowledge_share=0.61|people_share=0.08|routine_share=0.14|labor_context_2024
